,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,SES Percentage,Asian,african american,latinx,white,Chance of Admit
0,337.0,118.0,4,4.5,4.5,9.65,1,12,1,0,0,0,0.92
1,324.0,107.0,4,4.0,4.5,8.87,1,11,0,0,1,0,0.76
2,316.0,104.0,3,3.0,3.5,8.0,1,78,0,0,1,0,0.72
3,322.0,110.0,3,3.5,2.5,8.67,1,77,0,0,0,1,0.8
4,314.0,103.0,2,2.0,3.0,8.21,0,1,0,1,0,0,0.65
5,321.0,109.0,3,3.0,4.0,8.2,1,4,0,1,0,0,0.75
6,308.0,101.0,2,3.0,4.0,7.9,0,80,0,0,1,0,0.68
7,302.0,102.0,1,2.0,1.5,8.0,0,37,0,1,0,0,0.5
8,325.0,106.0,3,3.5,4.0,8.4,1,79,0,1,0,0,0.52
9,328.0,112.0,4,4.0,4.5,9.1,1,33,1,0,0,0,0.78
10,307.0,109.0,3,4.0,3.0,8.0,1,67,0,0,0,1,0.62
11,311.0,104.0,3,3.5,2.0,8.2,1,40,0,1,0,0,0.61
12,319.0,106.0,3,4.0,3.0,8.0,1,75,0,1,0,0,0.65
13,318.0,110.0,3,4.0,3.0,8.8,0,5,0,0,1,0,0.63
14,303.0,102.0,3,3.5,3.0,8.5,0,26,0,0,1,0,0.62
15,325.0,114.0,4,3.0,2.0,8.4,0,57,0,1,0,0,0.7
16,328.0,116.0,5,5.0,5.0,9.5,1,13,0,1,0,0,0.94
17,334.0,119.0,5,5.0,4.5,9.7,1,98,0,0,0,1,0.95
18,336.0,119.0,5,4.0,3.5,9.8,1,31,0,1,0,0,0.97
19,340.0,120.0,5,4.5,4.5,9.6,1,9,0,1,0,0,0.94
20,322.0,109.0,5,4.5,3.5,8.8,0,9,0,1,0,0,0.76
21,295.0,93.0,1,2.0,2.0,7.2,0,92,0,0,1,0,0.46
22,310.0,99.0,2,1.5,2.0,7.3,0,90,0,0,1,0,0.54
23,300.0,97.0,2,3.0,3.0,8.1,1,93,0,0,1,0,0.65
24,327.0,103.0,3,4.0,4.0,8.3,1,4,0,0,0,1,0.74
25,331.0,112.0,5,4.0,5.0,9.8,1,60,0,0,0,1,0.94
26,320.0,110.0,5,5.0,5.0,9.2,1,98,0,1,0,0,0.88
27,299.0,106.0,2,4.0,4.0,8.4,0,30,0,0,0,1,0.64
28,300.0,105.0,1,1.0,2.0,7.8,0,93,0,0,0,1,0.58
29,304.0,105.0,1,3.0,1.5,7.5,0,80,0,0,1,0,0.52
30,307.0,108.0,2,4.0,3.5,7.7,0,85,0,0,1,0,0.48
31,308.0,110.0,3,3.5,3.0,8.0,1,8,1,0,0,0,0.46
32,316.0,105.0,2,2.5,2.5,8.2,1,48,0,1,0,0,0.49
33,313.0,107.0,2,2.5,2.0,8.5,1,25,0,0,0,1,0.53
34,332.0,117.0,4,4.5,4.0,9.1,0,68,0,0,1,0,0.87
35,326.0,113.0,5,4.5,4.0,9.4,1,99,0,0,1,0,0.91
36,322.0,110.0,5,5.0,4.0,9.1,1,3,0,0,1,0,0.88
37,329.0,114.0,5,4.0,5.0,9.3,1,68,0,0,0,1,0.86
38,339.0,119.0,5,4.5,4.0,9.7,0,52,0,0,1,0,0.89
39,321.0,110.0,3,3.5,5.0,8.85,1,95,1,0,0,0,0.82
40,327.0,111.0,4,3.0,4.0,8.4,1,5,0,0,0,1,0.78
41,313.0,98.0,3,2.5,4.5,8.3,1,10,0,1,0,0,0.76
42,312.0,100.0,2,1.5,3.5,7.9,1,84,0,1,0,0,0.56
43,334.0,116.0,4,4.0,3.0,8.0,1,74,0,1,0,0,0.78
44,324.0,112.0,4,4.0,2.5,8.1,1,75,0,1,0,0,0.72
45,322.0,110.0,3,3.0,3.5,8.0,0,30,0,0,0,1,0.7
46,320.0,103.0,3,3.0,3.0,7.7,0,36,0,0,0,1,0.64
47,316.0,102.0,3,2.0,3.0,7.4,0,18,0,0,0,1,0.64
48,298.0,99.0,2,4.0,2.0,7.6,0,4,0,0,1,0,0.46
49,311.0,104.0,2,2.0,2.0,8.3,0,68,0,0,0,1,0.42
50,309.0,100.0,2,3.0,3.0,8.1,0,10,0,1,0,0,0.48
51,307.0,101.0,3,4.0,3.0,8.2,0,94,0,0,0,1,0.47
52,304.0,105.0,2,3.0,3.0,8.2,1,62,1,0,0,0,0.54
53,325.0,111.0,3,3.0,3.5,8.7,0,26,0,1,0,0,0.52
54,325.0,112.0,4,3.5,3.5,8.92,0,75,0,1,0,0,0.55
55,327.0,114.0,3,3.0,3.0,9.02,0,58,0,0,0,1,0.61
56,316.0,107.0,2,3.5,3.5,8.64,1,37,0,0,0,1,0.57
57,332.0,118.0,5,5.0,5.0,9.64,1,82,0,0,0,1,0.94
58,336.0,112.0,5,5.0,5.0,9.76,1,11,0,0,1,0,0.96
59,321.0,111.0,5,5.0,5.0,9.45,1,33,0,0,1,0,0.93
60,314.0,108.0,4,4.5,4.0,9.04,1,27,0,0,1,0,0.84
61,314.0,106.0,3,3.0,5.0,8.9,0,99,0,0,0,1,0.74
62,301.0,99.0,2,3.0,2.0,8.22,0,89,0,0,0,1,0.64
63,294.0,93.0,1,1.5,2.0,7.36,0,97,0,0,0,1,0.46
64,312.0,105.0,3,2.0,3.0,8.02,1,6,0,0,1,0,0.5
65,340.0,120.0,4,5.0,5.0,9.5,1,1,0,0,1,0,0.96
66,320.0,110.0,5,5.0,4.5,9.22,1,60,0,0,1,0,0.92
67,322.0,115.0,5,4.0,4.5,9.36,1,5,0,0,1,0,0.92
68,317.0,107.0,2,3.5,3.0,8.28,0,6,0,0,0,1,0.66
69,314.0,108.0,3,4.5,3.5,8.14,0,34,0,0,0,1,0.64
70,316.0,109.0,4,4.5,3.5,8.76,1,12,0,1,0,0,0.74
71,318.0,106.0,2,4.0,4.0,7.92,1,79,0,1,0,0,0.64
72,299.0,97.0,3,5.0,3.5,7.66,0,97,0,1,0,0,0.38
73,298.0,98.0,2,4.0,3.0,8.03,0,76,0,1,0,0,0.34
74,301.0,97.0,2,3.0,3.0,7.88,1,77,0,0,0,1,0.44
75,303.0,99.0,3,2.0,2.5,7.66,0,37,1,0,0,0,0.36
76,304.0,100.0,4,1.5,2.5,7.84,0,38,0,1,0,0,0.42
77,306.0,100.0,2,3.0,3.0,8.0,0,60,0,0,0,1,0.48
78,331.0,120.0,3,4.0,4.0,8.96,1,33,0,0,0,1,0.86
79,332.0,119.0,4,5.0,4.5,9.24,1,70,0,1,0,0,0.9
80,323.0,113.0,3,4.0,4.0,8.88,1,72,0,1,0,0,0.79
81,322.0,107.0,3,3.5,3.5,8.46,1,50,0,0,0,1,0.71
82,314.0,106.0,2,4.0,3.5,8.25,0,28,0,0,1,0,0.62
83,317.0,104.0,2,4.5,4.0,8.47,0,74,0,0,0,1,0.57
84,326.0,112.0,3,3.5,3.0,9.05,1,76,0,1,0,0,0.74
85,316.0,110.0,3,4.0,4.5,8.78,1,6,0,0,0,1,0.69
